720,485,Mickey Brantley
720,174,Mike Henneman
719,486,Darryl Hamilton
717,1068,John Tudor
715,1208,Junior Ortiz
711,73,John Dopson
711,299,Greg Walker
707,74,Dave Johnson
706,1140,Juan Agosto
703,75,Matt Young
702,76,Richard Dotson
702,487,Alex Cole
701,488,John Moses
700,262,Ron Karkovice
696,77,Jim Acker
695,1209,Rick Dempsey
695,1069,Mark Gardner
694,1141,Craig Lefferts
691,78,Scott Bailes
690,263,Sandy Alomar
688,395,Jeff Kunkel
688,396,Randy Velarde
687,1142,Tim Burke
686,1070,Shane Rawley
686,79,Mark Knudson
686,175,Steve Farr
685,489,Rick Leach
683,1071,Ron Robinson
680,1269,Mark Lemke
680,397,Rene Gonzales
679,264,Jamie Quirk
678,176,Jeff Montgomery
677,1143,Rob Dibble
677,80,Wes Gardner
676,265,Tim Laudner
672,177,Terry Leach
671,81,John Candelaria
669,1072,Ted Power
669,82,Dave Schmidt
668,83,Joe Hesketh
668,84,Bill Long
662,85,Mike Jeffcoat
662,1210,Joe Girardi
660,1270,Ron Oester
657,1144,Alejandro Pena
655,1145,Jeff Parrett
655,178,Bobby Thigpen
650,266,Bob Geren
649,179,Lee Guetterman
648,267,Greg Myers
647,1073,Ken Howell
647,86,Jerry Reuss
645,1146,Mark Davis
642,1243,Jeff Bagwell
635,490,Dave Clark
634,87,Scott Erickson
633,1074,Dennis Cook
633,1147,Tim Crews
631,1148,Steve Bedrosian
630,180,Gene Nelson
628,329,Chuck Knoblauch
626,1149,Larry Andersen
625,300,Jim Traber
623,1075,Jose DeJesus
623,181,Doug Jones
621,88,Shawn Hillegas
621,182,Lee Smith
619,1387,Mark Carreon
619,1076,Steve Avery
619,89,Chuck Cary
618,1388,Shawn Abner
616,1077,Atlee Hammaker
614,1294,Mike Schmidt
612,491,Jack Daugherty
611,1078,Mark Grant
609,1150,Mitch Williams
608,90,Rick Aguilera
604,1079,Derek Lilliquist
603,183,Mark Eichhorn
600,1151,Jeff Brantley
600,91,Mark Guthrie
599,492,Danny Heep
599,493,Tony Armas
597,1080,Mike Dunne
591,1081,Jeff Pico
589,184,Rob Murphy
589,494,Kevin Romine
589,92,Rod Nichols
588,495,Milt Cuyler
587,93,Rick Rhoden
582,94,Todd Burns
579,1152,John Franco
579,95,Floyd Bannister
579,1082,Larry McWilliams
578,1153,Joe Boever
577,1295,Mickey Hatcher
577,496,Glenallen Hill
573,1211,Jody Davis
573,1083,Pat Combs
571,1389,Mike Kingery
571,1084,Tommy Greene
570,497,Kevin Reimer
564,185,Tom Henke
563,96,David West
562,97,Kenny Rogers
561,186,Dave Righetti
559,187,Dennis Eckersley
559,98,Alex Fernandez
557,301,Willie Upshaw
557,498,Carmen Castillo
556,1390,Jerald Clark
555,99,Tom Bolton
553,100,Jose Bautista
551,1154,Barry Jones
550,188,Dan Plesac
548,189,Bryan Harvey
547,1391,Jose Gonzalez
547,1085,Scott Scudder
544,1392,Luis Gonzalez
541,1155,Bob Kipper
541,101,Jay Tibbs
541,102,Mike Smithson
539,268,Mark Salas
535,499,Mark Whiten
530,302,Bill Buckner
528,1296,Denny Walling
526,1212,Kirt Manwaring
525,190,Donn Pall
523,1156,Jay Howell
519,1157,Frank DiPino
518,103,Brian Holton
517,1325,Domingo Ramos
515,191,Rick Honeycutt
514,104,Charles Nagy
514,398,Rafael Santana
513,192,Jeff Reardon
512,399,Mike Brumley
510,303,Joey Meyer
506,1271,Greg Litton
505,1086,Randy Tomlin
504,1087,Mike Maddux
501,1244,Orlando Merced
500,330,Lance Blankenship
500,331,Mark McLemore
499,1088,Andy McGaffigan
498,332,Terry Shumpert
495,1393,Mike Davis
495,333,Tim Hulett
491,1297,Chico Walker
491,1089,Steve Wilson
490,105,Ben McDonald
489,1090,Bob Forsch
488,193,Gregg Olson
485,1394,Mark Davidson
483,194,Jesse Orosco
483,1158,Bill Landrum
481,195,Jerry Reed
480,106,Tommy John
480,334,Glenn Hubbard
480,364,Leo Gomez
478,1213,Mark Parent
470,1214,Steve Lake
470,1395,Eric Anthony
468,335,Luis Sojo
467,500,Max Venable
467,107,Rich Yett
465,1091,Ricky Horton
463,1396,Wes Chamberlain
461,1215,Bo Diaz
459,523,Jim Dwyer
458,501,Terry Francona
455,1216,Alex Trevino
454,1092,Mike Harkey
454,196,Lance McCullers
453,1093,Shawn Boskie
451,365,Scott Coolbaugh
447,1094,Chris Nabholz
443,197,Mark Thurmond
441,1272,Mickey Morandini
439,1217,Bruce Benedict
439,269,Chris Hoiles
438,1298,Buddy Bell
437,304,Larry Parrish
436,108,Rich DeLucia
435,502,Hensley Meulens
433,1095,Omar Olivares
433,198,Ken Patterson
431,199,Mike Schooler
431,1159,Jim Gott
430,1218,Barry Lyons
430,503,Gary Thurman
427,366,Jim Leyritz
426,1096,Wally Whitehurst
423,109,Joe Price
422,1397,Gary Varsho
422,1398,John Cangelosi
421,1097,Marty Clary
421,200,Jerry Gleaton
419,110,Steve Rosenberg
417,1160,Dave Smith
414,504,Stan Jefferson
408,1161,Ken Dayley
407,1399,Rolando Roomes
406,201,Edwin Nunez
400,1273,Luis Alicea
398,400,Kent Anderson
392,111,Tom Filer
392,401,Craig Grebeck
391,202,Cecilio Guante
388,1219,John Russell
386,112,Clay Parker
385,113,Dana Kiecker
382,114,Frank Wills
381,1098,Francisco Oliveras
380,1400,Bernard Gilkey
379,336,Joey Cora
377,1326,Craig Reynolds
377,1401,Bob Dernier
377,1099,Danny Cox
376,1100,Brian Barnes
375,402,Mario Diaz
374,1101,Bob Patterson
374,1402,Dave Collins
373,505,Brad Komminsk
371,203,Dale Mohorcic
371,1102,Tim Birtsas
369,204,Steve Olin
369,506,Bernie Williams
369,205,Greg Minton
368,1403,Chris Gwynn
365,1103,Bill Sampen
365,337,Steve Lombardozzi
364,403,Luis Aguayo
363,1104,Cris Carpenter
362,206,Bob Stanley
361,207,Steve Crawford
359,305,David Segui
354,1404,Dwayne Murphy
350,1405,Thomas Howard
349,1220,Bob Brenly
347,1221,Ozzie Virgil
346,115,Charles Hudson
345,404,Ed Romero
342,208,Todd Frohwirth
341,1299,Tim Flannery
341,116,Jose Mesa
339,1162,Jeff Innis
337,117,Mike Birkbeck
337,118,Steve Searcy
335,1105,Mike Krukow
335,1106,Randy Kramer
334,306,Lee Stevens
333,1222,Hector Villanueva
330,270,Bill Schroeder
329,338,Mark Lewis
328,271,Jim Sundberg
327,1300,Chris Brown
327,1107,Brian Fisher
325,1108,Mike Hartley
325,1223,Alan Ashby
325,405,Dave Cochrane
322,119,Mark Leiter
322,307,Ray Knight
321,1406,John Morris
321,209,Tom Niedenfuer
319,507,Deion Sanders
318,339,Pat Kelly
315,1163,John Costello
315,120,Freddie Toliver
315,508,Mike Huff
313,121,Sergio Valdez
310,524,Don Baylor
309,122,Jeff Musselman
307,1109,Darryl Kile
307,1164,Darrel Akerfelds
307,1224,Steve Decker
307,1274,Junior Noboa
306,1327,Tim Jones
305,1166,Dan Schatzeder
305,1165,Jose Alvarez
304,406,Wayne Tolleson
303,1407,Darren Lewis
303,367,Dean Palmer
303,509,Bob Brower
302,1110,Tony Castillo
301,340,Brad Wellman
300,123,Dave Eiland
299,510,Doug Jennings
296,1111,Xavier Hernandez
296,1301,Dave Hollins
295,1112,Marvin Freeman
295,1408,Curt Ford
295,210,Tony Fossas
294,211,Julio Machado
294,1167,Stan Belinda
293,341,Pete Stanicek
293,1113,David Palmer
292,368,Eddie Williams
291,1114,John Wetteland
291,1409,Lee Mazzilli
290,1410,Albert Hall
289,1245,Brian Hunter
288,1168,Don Aase
286,1411,Donell Nixon
285,124,Mike Gardiner
285,272,Ivan Rodriguez
285,511,Ken Gerhart
284,1169,Rich Gossage
284,1246,Wallace Johnson
283,1171,Todd Worrell
283,1170,Dan Quisenberry
283,512,Sil Campusano
281,1275,Damaso Garcia
281,407,Jeff Schaefer
279,125,Adam Peterson
279,513,Rob Ducey
279,126,John Barfield
278,1115,Randy O'Neal
278,1173,Scott Ruskin
278,1172,Drew Hall
277,127,Juan Guzman
276,514,Oscar Azocar
275,1116,Jim Corsi
273,1117,Jason Grimsley
273,273,Chad Kreuter
273,1174,Curt Schilling
271,128,Mike Campbell
271,1118,Charlie Puleo
270,1225,Francisco Cabrera
269,213,Frank Williams
269,212,Paul Mirabella
267,1412,Joel Youngblood
267,408,Gus Polidor
264,1175,Kent Tekulve
261,1328,Andujar Cedeno
261,1413,Ron Jones
260,129,Charlie Lea
258,1176,Dwayne Henry
258,1276,Geronimo Pena
258,515,Randy Kutcher
256,1414,Mike Young
256,130,Russ Swan
256,409,Scott Leius
255,1177,Rich Rodriguez
255,1247,Phil Stephenson
254,131,Jeff Johnson
254,274,Brent Mayne
253,1119,Floyd Youmans
253,410,David Howard
252,411,Mike Bordick
251,1178,Chuck McElroy
250,1415,Karl Rhodes
249,214,Craig McMurtry
248,308,Mike Diaz
247,215,Scott Radinsky
247,309,Mo Vaughn
244,132,Tom Edens
244,216,Gary Wayne
243,1179,Kent Mercker
243,369,Jeff Manto
242,1120,Vicente Palacios
242,133,Jeff Shaw
241,1121,Rick Reed
240,1416,Terry Blocker
240,412,Edgar Diaz
239,1248,Bob Horner
239,1329,Rod Booker
237,1122,Greg Mathews
237,1330,Chris Speier
237,1417,Greg Gross
237,370,Mike Blowers
237,413,Ron Washington
237,134,Wayne Edwards
236,275,Matt Merullo
235,1418,Jim Lindeman
235,516,Pedro Munoz
235,135,Neil Allen
234,276,John Marzano
233,1180,Steve Frey
233,136,Joe Grahe
233,137,Wade Taylor
230,217,Bob McClure
229,138,John Mitchell
228,1226,Rick Wilkins
227,1227,Gilberto Reyes
227,517,Chito Martinez
226,218,Keith Atherton
225,139,Mike Fetters
225,219,Jeff Gray
223,1123,Frank Castillo
222,1124,Chris Hammond
222,1125,Bob Scanlan
221,220,Brad Arnsberg
221,140,Juan Nieves
220,141,Dave Otto
219,142,Joe Slusarski
217,221,Doug Sisk
217,1302,Craig Wilson
217,342,Juan Bell
217,222,Mike Timlin
215,1277,Dave Concepcion
215,143,Tim Drummond
214,1278,Manny Trillo
214,371,Doug Strange
212,144,Dennis Powell
211,277,John Orton
211,310,Paul Sorrento
211,518,Scott Lusader
210,145,Terry Clark
210,1181,Doug Bair
209,146,Willie Blair
209,223,John Habyan
209,147,Gene Harris
208,1126,Al Nipper
208,1331,Al Pedrique
206,1249,Benny Distefano
206,224,Brad Havens
206,519,Russ Morman
205,1332,Jose Vizcaino
204,1182,Mike Stanton
203,225,Joe Klink
202,226,Carl Willis
201,1127,Jose Nunez
201,1183,Tim Layana
201,1333,Jose Offerman
200,311,Tino Martinez
199,227,Steve Shields
198,228,Willie Hernandez
191,149,Steve Ontiveros
191,148,Brian Bohanon
189,1184,Pat Perry
189,150,Brian DuBois
187,1128,Jose Melendez
187,229,Darren Holmes
186,1185,Al Osuna
183,1129,Greg Booker
181,230,Gary Mielke
181,151,Al Leiter
179,231,Kevin Hickey
179,152,Gerald Alexander
179,153,Kevin Ritz
178,232,Mark Lee
176,1186,Mel Rojas
175,154,Mike Mussina
175,1130,Don Sutton
174,1131,Mario Soto
173,155,Kevin Brown
173,233,Rich Monteleone
173,1132,Pete Schourek
173,156,Kevin Morton
173,157,Steve Trout
172,158,Oswaldo Peraza
171,1133,Kip Gross
171,159,Jeff Sellers
171,1134,Kevin Coffman
171,160,Eric Hetzel
169,1135,Chris Haney
168,161,Stew Cliburn
165,1187,Dave Leiper
165,162,Les Straker
164,163,Paul Abbott
163,234,Keith Comstock
161,164,Odell Jones
159,235,Tom McCarthy
157,1136,Joaquin Andujar
157,165,Ramon Garcia
156,236,Steve Chitren
155,1188,Rick Luecken
155,1137,Bob Sebra
153,166,Scott Lewis
153,1189,Wally Ritchie
153,237,Tim Stoddard
151,167,Mike Walker
